id,name,full_name,owner_login,owner_type,html_url,description,homepage,language,topics,license_key,license_name,default_branch,created_at,updated_at,pushed_at,size_kb,stargazers_count,forks_count,open_issues_count,watchers_count,has_issues,has_wiki,has_pages,is_template,archived,disabled,visibility,allow_forking,network_count,subscribers_count
291137,ohmyzsh,ohmyzsh/ohmyzsh,ohmyzsh,Organization,https://github.com/ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",https://ohmyz.sh,Shell,cli;cli-app;hacktoberfest;oh-my-zsh;oh-my-zsh-plugin;oh-my-zsh-theme;ohmyzsh;plugin-framework;plugins;productivity;shell;terminal;theme;themes;zsh;zsh-configuration,mit,MIT License,master,2009-08-28T18:15:37Z,2025-08-22T21:31:58Z,2025-08-19T10:46:13Z,12923,180879,26182,505,180879,True,True,False,False,False,False,public,True,,
614765452,AutoGPT,Significant-Gravitas/AutoGPT,Significant-Gravitas,Organization,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",https://agpt.co,Python,ai;artificial-intelligence;autonomous-agents;gpt-4;llama-api;openai;python,other,Other,master,2023-03-16T09:21:07Z,2025-08-23T00:26:59Z,2025-08-22T23:24:07Z,275042,178000,45944,226,178000,True,True,False,False,False,False,public,True,,
41881900,vscode,microsoft/vscode,microsoft,Organization,https://github.com/microsoft/vscode,Visual Studio Code,https://code.visualstudio.com,TypeScript,editor;electron;microsoft;typescript;visual-studio-code,mit,MIT License,main,2015-09-03T20:23:38Z,2025-08-23T00:20:31Z,2025-08-23T00:20:23Z,1054746,175992,34539,12801,175992,True,True,False,False,False,False,public,True,,
2126244,bootstrap,twbs/bootstrap,twbs,Organization,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://getbootstrap.com,MDX,bootstrap;css;css-framework;html;javascript;sass;scss,mit,MIT License,main,2011-07-29T21:19:00Z,2025-08-22T20:26:16Z,2025-08-22T22:16:00Z,258879,172894,79127,561,172894,True,False,True,False,False,False,public,True,,
31792824,flutter,flutter/flutter,flutter,Organization,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,https://flutter.dev,Dart,android;app-framework;cross-platform;dart;dart-platform;desktop;flutter;flutter-package;fuchsia;ios;linux-desktop;macos;material-design;mobile;mobile-development;skia;web;web-framework;windows,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",master,2015-03-06T22:54:58Z,2025-08-23T00:29:32Z,2025-08-23T00:29:34Z,403736,172023,29056,12137,172023,True,True,False,False,False,False,public,True,,
123458551,Python-100-Days,jackfrued/Python-100-Days,jackfrued,User,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师,,Jupyter Notebook,,,,master,2018-03-01T16:05:52Z,2025-08-22T23:45:02Z,2025-03-28T10:29:23Z,396875,171163,54399,737,171163,True,True,False,False,False,False,public,True,,
1062897,gitignore,github/gitignore,github,Organization,https://github.com/github/gitignore,A collection of useful .gitignore templates,,,git;gitignore,cc0-1.0,Creative Commons Zero v1.0 Universal,main,2010-11-08T20:17:14Z,2025-08-23T00:15:40Z,2025-08-22T23:36:39Z,2941,168818,83013,313,168818,False,False,False,False,False,False,public,True,,
35955666,the-art-of-command-line,jlevy/the-art-of-command-line,jlevy,User,https://github.com/jlevy/the-art-of-command-line,"Master the command line, in one page",,,bash;documentation;linux;macos;unix;windows,,,master,2015-05-20T15:11:03Z,2025-08-22T20:27:06Z,2024-06-25T18:13:44Z,2772,157864,14746,251,157864,True,False,False,False,False,False,public,True,,
527591471,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,User,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,,Python,ai;ai-art;deep-learning;diffusion;gradio;image-generation;image2image;img2img;pytorch;stable-diffusion;text2image;torch;txt2img;unstable;upscaling;web,agpl-3.0,GNU Affero General Public License v3.0,master,2022-08-22T14:05:26Z,2025-08-22T23:36:15Z,2025-05-03T06:17:03Z,36427,155841,28899,2424,155841,True,True,False,False,False,False,public,True,,
132464395,JavaGuide,Snailclimb/JavaGuide,Snailclimb,User,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,https://javaguide.cn,Java,algorithms;interview;java;jvm;mysql;redis;spring;system;system-design;zookeeper,apache-2.0,Apache License 2.0,main,2018-05-07T13:27:00Z,2025-08-22T14:53:14Z,2025-08-20T02:17:55Z,177406,151377,45974,72,151377,True,True,False,False,False,False,public,True,,
658928958,ollama,ollama/ollama,ollama,Organization,https://github.com/ollama/ollama,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models.",https://ollama.com,Go,deepseek;gemma;gemma3;gemma3n;go;golang;gpt-oss;llama;llama2;llama3;llava;llm;llms;mistral;ollama;phi4;qwen,mit,MIT License,main,2023-06-26T19:39:32Z,2025-08-23T00:27:13Z,2025-08-22T23:26:50Z,48997,150731,12890,2124,150731,True,False,False,False,False,False,public,True,,
21540759,awesome-go,avelino/awesome-go,avelino,User,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",https://awesome-go.com,Go,awesome;awesome-list;go;golang;golang-library;hacktoberfest,mit,MIT License,main,2014-07-06T13:42:15Z,2025-08-23T00:01:36Z,2025-08-21T02:49:55Z,10488,150561,12515,143,150561,True,False,True,False,False,False,public,True,,
155220641,transformers,huggingface/transformers,huggingface,Organization,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training.",https://huggingface.co/transformers,Python,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,apache-2.0,Apache License 2.0,main,2018-10-29T13:56:00Z,2025-08-22T22:07:15Z,2025-08-22T22:07:10Z,353019,148670,30138,1960,148670,True,True,False,False,False,False,public,True,,
